"합계",광진구,광장동,37159,2.39,15548,36917,2.39,15446
"합계",광진구,자양1동,24459,0.57,42911,24151,0.57,42370
"합계",광진구,자양2동,28520,1.68,16976,27877,1.68,16593
"합계",광진구,자양3동,31436,1.20,26197,31227,1.20,26023
"합계",광진구,자양4동,28509,1.16,24577,28033,1.16,24166
"합계",동대문구,소계,376319,14.21,26481,373824,14.21,26301
"합계",동대문구,회기동,12627,0.76,16614,12524,0.76,16479
"합계",동대문구,휘경1동,17139,0.63,27205,15501,0.63,24605
"합계",동대문구,휘경2동,25735,1.05,24510,25519,1.05,24304
"합계",동대문구,청량리동,24584,1.20,20487,24019,1.20,20016
"합계",동대문구,용신동,32629,1.61,20266,33210,1.61,20627
"합계",동대문구,제기동,28883,1.18,24477,28850,1.18,24449
"합계",동대문구,전농1동,31997,1.19,26888,31254,1.21,25830
"합계",동대문구,전농2동,21387,0.86,24869,21234,0.86,24691
"합계",동대문구,답십리2동,30027,0.80,37534,29504,0.80,36880
"합계",동대문구,장안1동,37591,1.25,30073,38017,1.25,30414
"합계",동대문구,장안2동,32673,1.08,30253,32289,1.09,29623
"합계",동대문구,이문1동,32201,1.04,30963,32433,1.04,31186
"합계",동대문구,이문2동,22857,0.69,33126,22888,0.69,33171
"합계",동대문구,답십리1동,25989,0.86,30220,26582,0.84,31645
"합계",중랑구,소계,423411,18.50,22892,418620,18.50,22633
"합계",중랑구,면목2동,27936,0.73,38268,27560,0.73,37753
"합계",중랑구,면목4동,21713,1.10,19739,22345,1.10,20314
"합계",중랑구,면목5동,13597,0.64,21245,11607,0.64,18136
"합계",중랑구,면목7동,24860,0.87,28575,24004,0.87,27591
"합계",중랑구,상봉1동,26746,0.85,31466,26320,0.85,30965
"합계",중랑구,상봉2동,18438,0.68,27115,18629,0.68,27396
"합계",중랑구,중화1동,21287,0.68,31304,21283,0.68,31299
"합계",중랑구,중화2동,29665,0.98,30270,29090,0.98,29684
"합계",중랑구,묵1동,35241,1.20,29368,34885,1.20,29071
"합계",중랑구,묵2동,19563,0.70,27947,19613,0.70,28019
"합계",중랑구,망우3동,18789,0.99,18979,18415,0.99,18601
"합계",중랑구,신내1동,42203,2.53,16681,42150,2.53,16660
"합계",중랑구,신내2동,24192,0.99,24436,23913,0.99,24155
"합계",중랑구,면목본동,36584,1.01,36222,36575,1.01,36213
"합계",중랑구,면목3.8동,28695,1.67,17183,28620,1.67,17138
"합계",중랑구,망우본동,33902,2.88,11772,33611,2.88,11670
"합계",성북구,소계,475961,24.58,19366,469560,24.58,19104
"합계",성북구,돈암1동,16324,0.49,33314,17222,0.49,35147
"합계",성북구,돈암2동,23614,0.48,49196,23722,0.48,49421
"합계",성북구,안암동,18114,1.33,13620,18022,1.33,13550
"합계",성북구,보문동,15124,0.56,27007,15018,0.56,26818
"합계",성북구,정릉1동,19975,0.44,45398,19372,0.44,44027
"합계",성북구,정릉2동,23962,1.17,20480,24644,1.17,21063
"합계",성북구,정릉3동,17980,3.71,4846,17801,3.71,4798
"합계",성북구,정릉4동,27815,3.13,8887,27893,3.13,8912
"합계",성북구,길음1동,37987,0.79,48085,38048,0.79,48162
"합계",성북구,길음2동,17404,0.58,30007,16300,0.58,28103
"합계",성북구,월곡1동,28822,0.81,35583,28751,0.81,35495
"합계",성북구,월곡2동,21425,1.36,15754,21483,1.36,15796
"합계",성북구,장위1동,24380,0.70,34829,23502,0.70,33574
"합계",성북구,장위2동,21452,0.67,32018,20950,0.67,31269
"합계",성북구,장위3동,17534,0.65,26975,14165,0.65,21792
"합계",성북구,성북동,18811,2.86,6577,18536,2.86,6481
"합계",성북구,삼선동,28368,0.92,30835,27936,0.92,30365
"합계",성북구,동선동,16727,0.73,22914,16974,0.73,23252
"합계",성북구,종암동,43444,1.46,29756,43496,1.46,29792
"합계",성북구,석관동,36699,1.73,21213,35725,1.73,20650
"합계",강북구,소계,338410,23.60,14341,334426,23.60,14172
"합계",강북구,번1동,20643,0.55,37533,20541,0.55,37347
"합계",강북구,번2동,18927,1.25,15142,18746,1.25,14997
"합계",강북구,번3동,20636,0.86,23995,20235,0.86,23529
"합계",강북구,수유1동,23090,1.07,21579,22927,1.07,21427
"합계",강북구,수유2동,22969,0.73,31464,22644,0.73,31019
"합계",강북구,수유3동,23971,0.86,27873,23953,0.86,27852
"합계",강북구,삼양동,30306,0.95,31901,30085,0.95,31668
"합계",강북구,미아동,24014,0.73,32896,23756,0.73,32542
"합계",강북구,송중동,32378,1.22,26539,31068,1.22,25466
"합계",강북구,송천동,30928,0.88,35145,30453,0.88,34606
"합계",강북구,삼각산동,35020,0.62,56484,34782,0.62,56100
"합계",강북구,우이동,21717,10.95,1983,21904,10.95,2000
"합계",강북구,인수동,33811,2.93,11540,33332,2.93,11376
"합계",도봉구,소계,355712,20.70,17183,353241,20.71,17056
"합계",도봉구,쌍문1동,22623,1.24,18244,22590,1.24,18218
"합계",도봉구,쌍문2동,21222,0.54,39300,21294,0.54,39433
"합계",도봉구,쌍문3동,18180,0.50,36360,18028,0.50,36056
"합계",도봉구,쌍문4동,21269,0.52,40902,21102,0.52,40581
"합계",도봉구,방학1동,31600,0.69,45797,31622,0.69,45829
"합계",도봉구,방학2동,22948,0.74,31011,22631,0.74,30582
"합계",도봉구,방학3동,31235,2.64,11831,30909,2.64,11708
"합계",도봉구,창1동,28196,0.88,32041,27881,0.88,31683
"합계",도봉구,창2동,31211,1.07,29169,31123,1.07,29087
"합계",도봉구,창3동,15865,0.67,23679,15821,0.67,23613
"합계",도봉구,창4동,30170,0.96,31427,29838,0.96,31081
"합계",도봉구,창5동,27348,0.70,39069,27105,0.70,38721
"합계",도봉구,도봉1동,23731,8.72,2721,23526,8.72,2698
"합계",도봉구,도봉2동,30114,0.83,36282,29771,0.83,35869
"합계",노원구,소계,586056,35.44,16538,578221,35.44,16317
