"자치구별(1)",자치구별(2),2020,2020,2021,2021,2022,2022,2023,2023,2024,2024,2025,2025,2026,2026,2027,2027,2028,2028,2029,2029,2030,2030,2031,2031,2032,2032,2033,2033,2034,2034,2035,2035,2036,2036,2037,2037,2038,2038,2039,2039,2040,2040
"자치구별(1)",자치구별(2),성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비,성비,출생성비
"합계",마포구,88.30,110.79,87.71,106.69,87.42,107.13,87.13,107.13,86.84,107.13,86.61,107.05,86.43,107.08,86.28,107.14,86.16,107.02,86.06,107.12,85.97,107.08,85.88,107.00,85.80,107.04,85.71,107.11,85.63,107.05,85.55,107.02,85.47,107.08,85.40,107.05,85.34,107.08,85.29,106.98,85.26,107.03
"합계",양천구,96.06,109.34,95.57,105.64,95.32,107.45,95.03,107.36,94.72,107.43,94.42,107.40,94.14,107.32,93.88,107.47,93.65,107.39,93.44,107.44,93.23,107.44,93.03,107.47,92.84,107.36,92.66,107.40,92.49,107.38,92.32,107.31,92.17,107.42,92.03,107.46,91.91,107.38,91.82,107.37,91.74,107.43
"합계",강서구,92.84,102.82,92.19,102.40,91.61,105.00,91.30,105.07,91.04,105.02,90.85,105.02,90.71,105.03,90.64,105.00,90.59,105.00,90.54,105.03,90.49,104.99,90.42,104.97,90.33,104.99,90.23,104.98,90.12,105.00,90.01,104.99,89.88,104.96,89.76,104.96,89.64,105.00,89.54,105.01,89.47,104.99
"합계",구로구,99.33,113.35,99.12,106.35,98.68,107.47,98.15,107.49,97.67,107.48,97.27,107.51,96.93,107.50,96.65,107.51,96.41,107.45,96.21,107.36,96.02,107.39,95.84,107.39,95.69,107.43,95.55,107.35,95.41,107.38,95.28,107.44,95.16,107.37,95.04,107.44,94.93,107.40,94.84,107.40,94.76,107.36
"합계",금천구,103.38,102.99,102.76,105.69,102.15,107.43,101.71,107.51,101.36,107.56,101.11,107.42,100.93,107.39,100.79,107.28,100.68,107.52,100.57,107.32,100.44,107.46,100.32,107.48,100.18,107.37,100.04,107.43,99.89,107.50,99.74,107.44,99.60,107.40,99.47,107.47,99.34,107.34,99.22,107.35,99.14,107.48
"합계",영등포구,99.17,109.96,98.50,105.65,98.05,105.96,97.50,106.06,97.08,106.04,96.76,105.95,96.57,105.97,96.45,106.01,96.35,105.97,96.27,106.04,96.17,105.98,96.07,105.96,95.97,105.96,95.85,105.92,95.72,105.90,95.59,105.88,95.46,106.00,95.35,105.96,95.24,105.96,95.15,105.94,95.08,105.96
"합계",동작구,93.37,111.68,93.17,104.76,93.04,106.51,92.97,106.46,92.81,106.47,92.61,106.55,92.38,106.48,92.13,106.42,91.90,106.48,91.69,106.47,91.51,106.50,91.34,106.40,91.17,106.51,91.02,106.41,90.89,106.44,90.76,106.47,90.64,106.43,90.55,106.45,90.47,106.47,90.41,106.44,90.37,106.38
"합계",관악구,99.72,101.07,99.56,102.31,99.83,105.83,99.90,105.85,99.88,105.83,99.80,105.81,99.70,105.82,99.55,105.76,99.40,105.83,99.24,105.74,99.06,105.77,98.85,105.74,98.64,105.82,98.42,105.83,98.21,105.79,98.04,105.67,97.89,105.75,97.77,105.76,97.70,105.82,97.67,105.69,97.68,105.79
"합계",서초구,91.54,109.04,91.50,103.20,91.28,107.46,91.08,107.39,90.86,107.42,90.63,107.45,90.42,107.39,90.22,107.50,90.05,107.39,89.91,107.40,89.78,107.35,89.68,107.44,89.60,107.41,89.53,107.36,89.47,107.44,89.42,107.44,89.39,107.41,89.37,107.38,89.37,107.42,89.38,107.35,89.40,107.42
"합계",강남구,91.72,110.01,91.60,102.18,91.65,107.54,91.63,107.34,91.51,107.48,91.33,107.47,91.12,107.42,90.88,107.47,90.70,107.42,90.54,107.39,90.39,107.48,90.25,107.43,90.12,107.42,89.99,107.38,89.87,107.38,89.76,107.36,89.66,107.40,89.59,107.37,89.55,107.33,89.55,107.42,89.58,107.40
"합계",송파구,92.95,101.54,92.45,108.50,92.35,107.39,92.18,107.54,91.97,107.46,91.76,107.43,91.53,107.44,91.33,107.46,91.16,107.42,91.03,107.39,90.91,107.45,90.81,107.40,90.72,107.44,90.65,107.41,90.59,107.38,90.54,107.36,90.49,107.39,90.47,107.41,90.43,107.36,90.41,107.43,90.39,107.41
"합계",강동구,96.69,96.35,96.05,110.87,95.42,103.46,94.83,103.38,94.35,103.48,93.99,103.46,93.75,103.44,93.60,103.51,93.47,103.40,93.34,103.48,93.22,103.33,93.10,103.44,92.98,103.41,92.88,103.40,92.78,103.40,92.67,103.42,92.59,103.38,92.52,103.33,92.46,103.34,92.40,103.42,92.37,103.32
